Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
40,4/8/17,CHO,,BOS,4th,03:48.0,CHO down 1 (105-106),K. Walker makes free throw 2 of 3,CHO tied (106-106)
41,4/8/17,CHO,,BOS,4th,03:48.0,CHO down 2 (104-106),K. Walker makes free throw 1 of 3,CHO down 1 (105-106)
42,4/8/17,CHO,,BOS,4th,10:28.0,CHO down 3 (92-95),N. Batum misses free throw 2 of 2,CHO down 3 (92-95)
43,4/8/17,CHO,,BOS,4th,10:28.0,CHO down 4 (91-95),N. Batum makes free throw 1 of 2,CHO down 3 (92-95)
44,4/8/17,CHO,,BOS,4th,11:04.0,CHO down 5 (90-95),J. Lamb makes free throw 1 of 1,CHO down 4 (91-95)
45,4/8/17,CHO,,BOS,3rd,03:53.0,CHO down 10 (71-81),K. Walker makes free throw 2 of 2,CHO down 9 (72-81)
46,4/8/17,CHO,,BOS,3rd,03:53.0,CHO down 11 (70-81),K. Walker makes free throw 1 of 2,CHO down 10 (71-81)
47,4/8/17,CHO,,BOS,3rd,04:52.0,CHO down 10 (69-79),M. Kidd-Gilchrist makes free throw 2 of 2,CHO down 9 (70-79)
48,4/8/17,CHO,,BOS,3rd,04:52.0,CHO down 10 (69-79),M. Kidd-Gilchrist misses free throw 1 of 2,CHO down 10 (69-79)
49,4/8/17,CHO,,BOS,3rd,05:23.0,CHO down 11 (68-79),M. Kidd-Gilchrist makes free throw 1 of 1,CHO down 10 (69-79)
50,4/8/17,CHO,,BOS,3rd,07:02.0,CHO down 16 (63-79),N. Batum makes free throw 2 of 2,CHO down 15 (64-79)
51,4/8/17,CHO,,BOS,3rd,07:02.0,CHO down 17 (62-79),N. Batum makes free throw 1 of 2,CHO down 16 (63-79)
52,4/8/17,CHO,,BOS,3rd,07:22.0,CHO down 16 (61-77),M. Williams makes free throw 2 of 2,CHO down 15 (62-77)
53,4/8/17,CHO,,BOS,3rd,07:22.0,CHO down 17 (60-77),M. Williams makes free throw 1 of 2,CHO down 16 (61-77)
54,4/8/17,CHO,,BOS,2nd,02:22.0,CHO down 9 (48-57),C. Zeller makes free throw 2 of 2,CHO down 8 (49-57)
55,4/8/17,CHO,,BOS,2nd,02:22.0,CHO down 10 (47-57),C. Zeller makes free throw 1 of 2,CHO down 9 (48-57)
56,4/8/17,CHO,,BOS,2nd,02:45.0,CHO down 11 (46-57),M. Kidd-Gilchrist makes free throw 2 of 2,CHO down 10 (47-57)
57,4/8/17,CHO,,BOS,2nd,02:45.0,CHO down 12 (45-57),M. Kidd-Gilchrist makes free throw 1 of 2,CHO down 11 (46-57)
58,4/8/17,CHO,,BOS,2nd,06:35.0,CHO down 9 (37-46),J. Lamb makes free throw 1 of 1,CHO down 8 (38-46)
59,4/8/17,CHO,,BOS,1st,00:39.0,CHO down 2 (27-29),J. Lamb makes free throw 2 of 2,CHO down 1 (28-29)
60,4/8/17,CHO,,BOS,1st,00:39.0,CHO down 3 (26-29),J. Lamb makes free throw 1 of 2,CHO down 2 (27-29)
61,4/8/17,CHO,,BOS,1st,05:37.0,CHO up 4 (12-8),K. Walker makes free throw 2 of 2,CHO up 5 (13-8)
62,4/8/17,CHO,,BOS,1st,05:37.0,CHO up 3 (11-8),K. Walker makes free throw 1 of 2,CHO up 4 (12-8)
63,4/8/17,CHO,,BOS,1st,10:18.0,CHO up 6 (6-0),C. Zeller makes free throw 2 of 2,CHO up 7 (7-0)
64,4/8/17,CHO,,BOS,1st,10:18.0,CHO up 5 (5-0),C. Zeller makes free throw 1 of 2,CHO up 6 (6-0)
65,4/5/17,CHO,,MIA,4th,04:55.0,CHO down 12 (87-99),N. Batum makes free throw 2 of 2,CHO down 11 (88-99)
66,4/5/17,CHO,,MIA,4th,04:55.0,CHO down 13 (86-99),N. Batum makes free throw 1 of 2,CHO down 12 (87-99)
67,4/5/17,CHO,,MIA,4th,08:59.0,CHO down 11 (82-93),N. Batum makes free throw 3 of 3,CHO down 10 (83-93)
68,4/5/17,CHO,,MIA,4th,08:59.0,CHO down 12 (81-93),N. Batum makes free throw 2 of 3,CHO down 11 (82-93)
69,4/5/17,CHO,,MIA,4th,08:59.0,CHO down 13 (80-93),N. Batum makes free throw 1 of 3,CHO down 12 (81-93)
70,4/5/17,CHO,,MIA,3rd,01:00.0,CHO down 15 (69-84),J. Lamb makes free throw 2 of 2,CHO down 14 (70-84)
71,4/5/17,CHO,,MIA,3rd,01:00.0,CHO down 16 (68-84),J. Lamb makes free throw 1 of 2,CHO down 15 (69-84)
72,4/5/17,CHO,,MIA,3rd,01:38.0,CHO down 17 (67-84),F. Kaminsky makes free throw 2 of 2,CHO down 16 (68-84)
73,4/5/17,CHO,,MIA,3rd,01:38.0,CHO down 17 (67-84),F. Kaminsky misses free throw 1 of 2,CHO down 17 (67-84)
74,4/5/17,CHO,,MIA,3rd,04:40.0,CHO down 13 (62-75),N. Batum makes free throw 2 of 2,CHO down 12 (63-75)
75,4/5/17,CHO,,MIA,3rd,04:40.0,CHO down 14 (61-75),N. Batum makes free throw 1 of 2,CHO down 13 (62-75)
76,4/5/17,CHO,,MIA,3rd,09:14.0,CHO down 3 (58-61),N. Batum makes technical free throw,CHO down 2 (59-61)
77,4/5/17,CHO,,MIA,3rd,10:11.0,CHO down 4 (57-61),N. Batum makes free throw 1 of 1,CHO down 3 (58-61)
78,4/5/17,CHO,,MIA,2nd,00:45.0,CHO tied (47-47),N. Batum makes free throw 1 of 1,CHO up 1 (48-47)
79,4/5/17,CHO,,MIA,2nd,05:49.0,CHO down 5 (34-39),K. Walker makes free throw 2 of 2,CHO down 4 (35-39)
80,4/5/17,CHO,,MIA,2nd,05:49.0,CHO down 6 (33-39),K. Walker makes free throw 1 of 2,CHO down 5 (34-39)
81,4/5/17,CHO,,MIA,2nd,06:57.0,CHO down 2 (33-35),K. Walker misses free throw 3 of 3,CHO down 2 (33-35)
82,4/5/17,CHO,,MIA,2nd,06:57.0,CHO down 2 (33-35),K. Walker misses free throw 2 of 3,CHO down 2 (33-35)
83,4/5/17,CHO,,MIA,2nd,06:57.0,CHO down 3 (32-35),K. Walker makes free throw 1 of 3,CHO down 2 (33-35)
84,4/5/17,CHO,,MIA,2nd,10:07.0,CHO down 1 (29-30),F. Kaminsky makes free throw 1 of 1,CHO tied (30-30)
85,4/5/17,CHO,,MIA,1st,03:24.0,CHO down 5 (15-20),M. Kidd-Gilchrist makes free throw 2 of 2,CHO down 4 (16-20)
86,4/5/17,CHO,,MIA,1st,03:24.0,CHO down 6 (14-20),M. Kidd-Gilchrist makes free throw 1 of 2,CHO down 5 (15-20)
87,4/5/17,CHO,,MIA,1st,10:41.0,CHO down 1 (1-2),N. Batum makes free throw 2 of 2,CHO tied (2-2)
88,4/5/17,CHO,,MIA,1st,10:41.0,CHO down 2 (0-2),N. Batum makes free throw 1 of 2,CHO down 1 (1-2)
89,4/4/17,CHO,@,WAS,4th,00:59.0,CHO down 6 (105-111),K. Walker makes free throw 2 of 2,CHO down 5 (106-111)
90,4/4/17,CHO,@,WAS,4th,00:59.0,CHO down 7 (104-111),K. Walker makes free throw 1 of 2,CHO down 6 (105-111)
91,4/4/17,CHO,@,WAS,4th,03:34.0,CHO down 7 (97-104),K. Walker makes free throw 2 of 2,CHO down 6 (98-104)
92,4/4/17,CHO,@,WAS,4th,03:34.0,CHO down 7 (97-104),K. Walker misses free throw 1 of 2,CHO down 7 (97-104)
93,4/4/17,CHO,@,WAS,4th,06:10.0,CHO down 13 (90-103),F. Kaminsky makes free throw 2 of 2,CHO down 12 (91-103)
94,4/4/17,CHO,@,WAS,4th,06:10.0,CHO down 13 (90-103),F. Kaminsky misses free throw 1 of 2,CHO down 13 (90-103)
95,4/4/17,CHO,@,WAS,4th,09:18.0,CHO down 9 (85-94),F. Kaminsky makes free throw 2 of 2,CHO down 8 (86-94)
96,4/4/17,CHO,@,WAS,4th,09:18.0,CHO down 10 (84-94),F. Kaminsky makes free throw 1 of 2,CHO down 9 (85-94)
97,4/4/17,CHO,@,WAS,4th,09:57.0,CHO down 9 (83-92),J. Lamb makes free throw 2 of 2,CHO down 8 (84-92)
98,4/4/17,CHO,@,WAS,4th,09:57.0,CHO down 10 (82-92),J. Lamb makes free throw 1 of 2,CHO down 9 (83-92)
