Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
496,3/2/17,CHO,@,PHO,1st,05:51.0,CHO up 7 (20-13),N. Batum makes free throw 1 of 3,CHO up 8 (21-13)
497,2/28/17,CHO,@,LAL,4th,00:09.0,CHO up 4 (108-104),K. Walker makes free throw 2 of 2,CHO up 5 (109-104)
498,2/28/17,CHO,@,LAL,4th,00:09.0,CHO up 3 (107-104),K. Walker makes free throw 1 of 2,CHO up 4 (108-104)
499,2/28/17,CHO,@,LAL,4th,00:20.0,CHO up 5 (106-101),K. Walker makes free throw 2 of 2,CHO up 6 (107-101)
500,2/28/17,CHO,@,LAL,4th,00:20.0,CHO up 4 (105-101),K. Walker makes free throw 1 of 2,CHO up 5 (106-101)
501,2/28/17,CHO,@,LAL,4th,00:27.0,CHO up 6 (104-98),F. Kaminsky makes free throw 2 of 2,CHO up 7 (105-98)
502,2/28/17,CHO,@,LAL,4th,00:27.0,CHO up 5 (103-98),F. Kaminsky makes free throw 1 of 2,CHO up 6 (104-98)
503,2/28/17,CHO,@,LAL,4th,03:23.0,CHO down 2 (94-96),K. Walker makes free throw 2 of 2,CHO down 1 (95-96)
504,2/28/17,CHO,@,LAL,4th,03:23.0,CHO down 3 (93-96),K. Walker makes free throw 1 of 2,CHO down 2 (94-96)
505,2/28/17,CHO,@,LAL,4th,04:45.0,CHO down 2 (89-91),M. Belinelli makes free throw 2 of 2,CHO down 1 (90-91)
506,2/28/17,CHO,@,LAL,4th,04:45.0,CHO down 2 (89-91),M. Belinelli misses free throw 1 of 2,CHO down 2 (89-91)
507,2/28/17,CHO,@,LAL,3rd,00:53.0,CHO down 3 (77-80),B. Roberts makes free throw 2 of 2,CHO down 2 (78-80)
508,2/28/17,CHO,@,LAL,3rd,00:53.0,CHO down 4 (76-80),B. Roberts makes free throw 1 of 2,CHO down 3 (77-80)
509,2/28/17,CHO,@,LAL,3rd,07:13.0,CHO up 1 (64-63),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 2 (65-63)
510,2/28/17,CHO,@,LAL,3rd,07:13.0,CHO up 1 (64-63),M. Kidd-Gilchrist misses free throw 1 of 2,CHO up 1 (64-63)
511,2/28/17,CHO,@,LAL,2nd,10:14.0,CHO up 1 (34-33),J. Lamb makes free throw 1 of 1,CHO up 2 (35-33)
512,2/28/17,CHO,@,LAL,1st,04:03.0,CHO up 2 (20-18),C. Zeller misses free throw 2 of 2,CHO up 2 (20-18)
513,2/28/17,CHO,@,LAL,1st,04:03.0,CHO up 2 (20-18),C. Zeller misses free throw 1 of 2,CHO up 2 (20-18)
514,2/28/17,CHO,@,LAL,1st,06:36.0,CHO down 1 (15-16),M. Kidd-Gilchrist makes free throw 2 of 2,CHO tied (16-16)
515,2/28/17,CHO,@,LAL,1st,06:36.0,CHO down 1 (15-16),M. Kidd-Gilchrist misses free throw 1 of 2,CHO down 1 (15-16)
516,2/28/17,CHO,@,LAL,1st,07:03.0,CHO down 1 (15-16),C. Zeller misses free throw 2 of 2,CHO down 1 (15-16)
517,2/28/17,CHO,@,LAL,1st,07:03.0,CHO down 1 (15-16),C. Zeller misses free throw 1 of 2,CHO down 1 (15-16)
518,2/28/17,CHO,@,LAL,1st,07:46.0,CHO tied (14-14),K. Walker makes free throw 1 of 1,CHO up 1 (15-14)
519,2/28/17,CHO,@,LAL,1st,08:32.0,CHO down 2 (10-12),F. Kaminsky makes free throw 2 of 2,CHO down 1 (11-12)
520,2/28/17,CHO,@,LAL,1st,08:32.0,CHO down 3 (9-12),F. Kaminsky makes free throw 1 of 2,CHO down 2 (10-12)
521,2/26/17,CHO,@,LAC,OT,00:02.0,CHO down 2 (121-123),K. Walker misses free throw 2 of 2,CHO down 2 (121-123)
522,2/26/17,CHO,@,LAC,OT,00:02.0,CHO down 3 (120-123),K. Walker makes free throw 1 of 2,CHO down 2 (121-123)
523,2/26/17,CHO,@,LAC,OT,01:05.0,CHO down 3 (117-120),J. Lamb makes free throw 2 of 2,CHO down 2 (118-120)
524,2/26/17,CHO,@,LAC,OT,01:05.0,CHO down 4 (116-120),J. Lamb makes free throw 1 of 2,CHO down 3 (117-120)
525,2/26/17,CHO,@,LAC,4th,00:12.0,CHO down 1 (112-113),K. Walker makes free throw 2 of 2,CHO tied (113-113)
526,2/26/17,CHO,@,LAC,4th,00:12.0,CHO down 2 (111-113),K. Walker makes free throw 1 of 2,CHO down 1 (112-113)
527,2/26/17,CHO,@,LAC,4th,03:45.0,CHO down 1 (102-103),M. Williams makes free throw 2 of 2,CHO tied (103-103)
528,2/26/17,CHO,@,LAC,4th,03:45.0,CHO down 2 (101-103),M. Williams makes free throw 1 of 2,CHO down 1 (102-103)
529,2/26/17,CHO,@,LAC,4th,04:07.0,CHO down 2 (100-102),K. Walker makes free throw 2 of 2,CHO down 1 (101-102)
530,2/26/17,CHO,@,LAC,4th,04:07.0,CHO down 3 (99-102),K. Walker makes free throw 1 of 2,CHO down 2 (100-102)
531,2/26/17,CHO,@,LAC,4th,04:45.0,CHO down 3 (98-101),M. Williams makes free throw 2 of 2,CHO down 2 (99-101)
532,2/26/17,CHO,@,LAC,4th,04:45.0,CHO down 3 (98-101),M. Williams misses free throw 1 of 2,CHO down 3 (98-101)
533,2/26/17,CHO,@,LAC,4th,09:20.0,CHO tied (89-89),N. Batum makes free throw 2 of 2,CHO up 1 (90-89)
534,2/26/17,CHO,@,LAC,4th,09:20.0,CHO down 1 (88-89),N. Batum makes free throw 1 of 2,CHO tied (89-89)
535,2/26/17,CHO,@,LAC,4th,09:53.0,CHO down 2 (87-89),J. Lamb makes free throw 1 of 1,CHO down 1 (88-89)
536,2/26/17,CHO,@,LAC,4th,11:14.0,CHO down 3 (81-84),J. Lamb makes free throw 2 of 2,CHO down 2 (82-84)
537,2/26/17,CHO,@,LAC,4th,11:14.0,CHO down 4 (80-84),J. Lamb makes free throw 1 of 2,CHO down 3 (81-84)
538,2/26/17,CHO,@,LAC,3rd,01:32.0,CHO down 3 (76-79),K. Walker makes free throw 1 of 1,CHO down 2 (77-79)
539,2/26/17,CHO,@,LAC,2nd,02:09.0,CHO down 1 (50-51),N. Batum makes technical free throw,CHO tied (51-51)
540,2/26/17,CHO,@,LAC,2nd,03:00.0,CHO down 2 (47-49),N. Batum makes free throw 2 of 2,CHO down 1 (48-49)
541,2/26/17,CHO,@,LAC,2nd,03:00.0,CHO down 3 (46-49),N. Batum makes free throw 1 of 2,CHO down 2 (47-49)
542,2/26/17,CHO,@,LAC,2nd,03:43.0,CHO down 2 (45-47),F. Kaminsky makes free throw 1 of 1,CHO down 1 (46-47)
543,2/26/17,CHO,@,LAC,2nd,04:45.0,CHO down 2 (40-42),F. Kaminsky makes free throw 2 of 2,CHO down 1 (41-42)
544,2/26/17,CHO,@,LAC,2nd,04:45.0,CHO down 3 (39-42),F. Kaminsky makes free throw 1 of 2,CHO down 2 (40-42)
545,2/26/17,CHO,@,LAC,2nd,10:18.0,CHO down 2 (30-32),F. Kaminsky makes free throw 2 of 2,CHO down 1 (31-32)
546,2/26/17,CHO,@,LAC,2nd,10:18.0,CHO down 3 (29-32),F. Kaminsky makes free throw 1 of 2,CHO down 2 (30-32)
547,2/26/17,CHO,@,LAC,2nd,11:44.0,CHO down 7 (25-32),J. Lamb makes free throw 2 of 2,CHO down 6 (26-32)
548,2/26/17,CHO,@,LAC,2nd,11:44.0,CHO down 8 (24-32),J. Lamb makes free throw 1 of 2,CHO down 7 (25-32)
549,2/26/17,CHO,@,LAC,1st,02:18.0,CHO down 9 (18-27),J. Lamb makes technical free throw,CHO down 8 (19-27)
550,2/26/17,CHO,@,LAC,1st,05:46.0,CHO down 8 (11-19),K. Walker misses free throw 1 of 1,CHO down 8 (11-19)
551,2/25/17,CHO,@,SAC,4th,03:52.0,CHO up 19 (93-74),N. Batum makes free throw 2 of 2,CHO up 20 (94-74)
552,2/25/17,CHO,@,SAC,4th,03:52.0,CHO up 18 (92-74),N. Batum makes free throw 1 of 2,CHO up 19 (93-74)
553,2/25/17,CHO,@,SAC,3rd,03:30.0,CHO up 18 (68-50),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 19 (69-50)
554,2/25/17,CHO,@,SAC,3rd,03:30.0,CHO up 17 (67-50),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 18 (68-50)
555,2/25/17,CHO,@,SAC,3rd,08:19.0,CHO up 22 (62-40),M. Williams makes free throw 1 of 1,CHO up 23 (63-40)
556,2/25/17,CHO,@,SAC,3rd,10:51.0,CHO up 14 (54-40),N. Batum makes free throw 2 of 2,CHO up 15 (55-40)
557,2/25/17,CHO,@,SAC,3rd,10:51.0,CHO up 13 (53-40),N. Batum makes free throw 1 of 2,CHO up 14 (54-40)
558,2/25/17,CHO,@,SAC,2nd,01:02.0,CHO up 7 (47-40),N. Batum makes free throw 2 of 2,CHO up 8 (48-40)
559,2/25/17,CHO,@,SAC,2nd,01:02.0,CHO up 6 (46-40),N. Batum makes free throw 1 of 2,CHO up 7 (47-40)
560,2/25/17,CHO,@,SAC,2nd,07:56.0,CHO up 8 (32-24),C. Wood makes free throw 2 of 2,CHO up 9 (33-24)
561,2/25/17,CHO,@,SAC,2nd,07:56.0,CHO up 8 (32-24),C. Wood misses free throw 1 of 2,CHO up 8 (32-24)
562,2/25/17,CHO,@,SAC,1st,03:39.0,CHO up 3 (18-15),M. Belinelli makes free throw 3 of 3,CHO up 4 (19-15)
563,2/25/17,CHO,@,SAC,1st,03:39.0,CHO up 2 (17-15),M. Belinelli makes free throw 2 of 3,CHO up 3 (18-15)
564,2/25/17,CHO,@,SAC,1st,03:39.0,CHO up 1 (16-15),M. Belinelli makes free throw 1 of 3,CHO up 2 (17-15)
565,2/25/17,CHO,@,SAC,1st,04:06.0,CHO tied (15-15),C. Wood makes free throw 2 of 2,CHO up 1 (16-15)
566,2/25/17,CHO,@,SAC,1st,04:06.0,CHO down 1 (14-15),C. Wood makes free throw 1 of 2,CHO tied (15-15)
567,2/25/17,CHO,@,SAC,1st,11:29.0,CHO up 1 (1-0),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 2 (2-0)
568,2/25/17,CHO,@,SAC,1st,11:29.0,CHO tied (0-0),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 1 (1-0)
569,2/23/17,CHO,@,DET,4th,03:14.0,CHO up 5 (92-87),K. Walker makes free throw 2 of 2,CHO up 6 (93-87)
570,2/23/17,CHO,@,DET,4th,03:14.0,CHO up 4 (91-87),K. Walker makes free throw 1 of 2,CHO up 5 (92-87)
571,2/23/17,CHO,@,DET,4th,10:57.0,CHO up 14 (86-72),B. Roberts makes free throw 2 of 2,CHO up 15 (87-72)
572,2/23/17,CHO,@,DET,4th,10:57.0,CHO up 13 (85-72),B. Roberts makes free throw 1 of 2,CHO up 14 (86-72)
573,2/23/17,CHO,@,DET,3rd,04:34.0,CHO up 14 (78-64),F. Kaminsky makes free throw 1 of 1,CHO up 15 (79-64)
574,2/23/17,CHO,@,DET,3rd,10:41.0,CHO up 13 (65-52),M. Williams makes free throw 2 of 2,CHO up 14 (66-52)
575,2/23/17,CHO,@,DET,3rd,10:41.0,CHO up 12 (64-52),M. Williams makes free throw 1 of 2,CHO up 13 (65-52)
576,2/23/17,CHO,@,DET,2nd,00:05.0,CHO up 13 (61-48),M. Williams makes free throw 3 of 3,CHO up 14 (62-48)
577,2/23/17,CHO,@,DET,2nd,00:05.0,CHO up 12 (60-48),M. Williams makes free throw 2 of 3,CHO up 13 (61-48)
578,2/23/17,CHO,@,DET,2nd,00:05.0,CHO up 11 (59-48),M. Williams makes free throw 1 of 3,CHO up 12 (60-48)
579,2/23/17,CHO,@,DET,2nd,02:48.0,CHO up 10 (55-45),K. Walker makes technical free throw,CHO up 11 (56-45)
580,2/23/17,CHO,@,DET,2nd,03:36.0,CHO up 7 (52-45),K. Walker makes free throw 2 of 2,CHO up 8 (53-45)
581,2/23/17,CHO,@,DET,2nd,03:36.0,CHO up 6 (51-45),K. Walker makes free throw 1 of 2,CHO up 7 (52-45)
582,2/23/17,CHO,@,DET,2nd,04:32.0,CHO up 4 (49-45),F. Kaminsky misses free throw 2 of 2,CHO up 4 (49-45)
583,2/23/17,CHO,@,DET,2nd,04:32.0,CHO up 3 (48-45),F. Kaminsky makes free throw 1 of 2,CHO up 4 (49-45)
584,2/23/17,CHO,@,DET,2nd,05:18.0,CHO up 4 (47-43),K. Walker makes free throw 2 of 2,CHO up 5 (48-43)
585,2/23/17,CHO,@,DET,2nd,05:18.0,CHO up 3 (46-43),K. Walker makes free throw 1 of 2,CHO up 4 (47-43)
586,2/23/17,CHO,@,DET,2nd,06:45.0,CHO down 1 (40-41),N. Batum makes free throw 3 of 3,CHO tied (41-41)
587,2/23/17,CHO,@,DET,2nd,06:45.0,CHO down 2 (39-41),N. Batum makes free throw 2 of 3,CHO down 1 (40-41)
588,2/23/17,CHO,@,DET,2nd,06:45.0,CHO down 3 (38-41),N. Batum makes free throw 1 of 3,CHO down 2 (39-41)
589,2/23/17,CHO,@,DET,1st,00:46.0,CHO up 4 (27-23),K. Walker makes free throw 2 of 2,CHO up 5 (28-23)
590,2/23/17,CHO,@,DET,1st,00:46.0,CHO up 3 (26-23),K. Walker makes free throw 1 of 2,CHO up 4 (27-23)
591,2/23/17,CHO,@,DET,1st,03:19.0,CHO up 1 (20-19),M. Kidd-Gilchrist makes free throw 2 of 2,CHO up 2 (21-19)
592,2/23/17,CHO,@,DET,1st,03:19.0,CHO tied (19-19),M. Kidd-Gilchrist makes free throw 1 of 2,CHO up 1 (20-19)
593,2/23/17,CHO,@,DET,1st,07:00.0,CHO up 1 (11-10),N. Batum makes free throw 2 of 2,CHO up 2 (12-10)
594,2/23/17,CHO,@,DET,1st,07:00.0,CHO tied (10-10),N. Batum makes free throw 1 of 2,CHO up 1 (11-10)
595,2/15/17,CHO,@,TOR,4th,07:55.0,CHO up 3 (76-73),K. Walker makes free throw 2 of 2,CHO up 4 (77-73)
596,2/15/17,CHO,@,TOR,4th,07:55.0,CHO up 2 (75-73),K. Walker makes free throw 1 of 2,CHO up 3 (76-73)
597,2/15/17,CHO,@,TOR,3rd,01:09.0,CHO up 11 (69-58),F. Kaminsky makes free throw 2 of 2,CHO up 12 (70-58)
598,2/15/17,CHO,@,TOR,3rd,01:09.0,CHO up 10 (68-58),F. Kaminsky makes free throw 1 of 2,CHO up 11 (69-58)
599,2/15/17,CHO,@,TOR,3rd,05:55.0,CHO up 4 (55-51),N. Batum makes free throw 3 of 3,CHO up 5 (56-51)
600,2/15/17,CHO,@,TOR,3rd,05:55.0,CHO up 4 (55-51),N. Batum misses free throw 2 of 3,CHO up 4 (55-51)
601,2/15/17,CHO,@,TOR,3rd,05:55.0,CHO up 3 (54-51),N. Batum makes free throw 1 of 3,CHO up 4 (55-51)
602,2/15/17,CHO,@,TOR,1st,10:00.0,CHO down 6 (1-7),M. Kidd-Gilchrist makes free throw 2 of 2,CHO down 5 (2-7)
603,2/15/17,CHO,@,TOR,1st,10:00.0,CHO down 7 (0-7),M. Kidd-Gilchrist makes free throw 1 of 2,CHO down 6 (1-7)
604,2/13/17,CHO,,PHI,4th,01:14.0,CHO down 9 (93-102),K. Walker makes free throw 2 of 2,CHO down 8 (94-102)
605,2/13/17,CHO,,PHI,4th,01:14.0,CHO down 10 (92-102),K. Walker makes free throw 1 of 2,CHO down 9 (93-102)
606,2/13/17,CHO,,PHI,4th,04:29.0,CHO down 10 (90-100),F. Kaminsky misses free throw 2 of 2,CHO down 10 (90-100)
607,2/13/17,CHO,,PHI,4th,04:29.0,CHO down 10 (90-100),F. Kaminsky misses free throw 1 of 2,CHO down 10 (90-100)
608,2/13/17,CHO,,PHI,4th,09:19.0,CHO down 7 (80-87),K. Walker misses free throw 3 of 3,CHO down 7 (80-87)
609,2/13/17,CHO,,PHI,4th,09:19.0,CHO down 8 (79-87),K. Walker makes free throw 2 of 3,CHO down 7 (80-87)
610,2/13/17,CHO,,PHI,4th,09:19.0,CHO down 8 (79-87),K. Walker misses free throw 1 of 3,CHO down 8 (79-87)
611,2/13/17,CHO,,PHI,4th,10:43.0,CHO down 9 (75-84),B. Roberts makes free throw 2 of 2,CHO down 8 (76-84)
612,2/13/17,CHO,,PHI,4th,10:43.0,CHO down 10 (74-84),B. Roberts makes free throw 1 of 2,CHO down 9 (75-84)
613,2/13/17,CHO,,PHI,3rd,00:01.0,CHO down 8 (72-80),J. Lamb misses free throw 2 of 2,CHO down 8 (72-80)
614,2/13/17,CHO,,PHI,3rd,00:01.0,CHO down 9 (71-80),J. Lamb makes free throw 1 of 2,CHO down 8 (72-80)
615,2/13/17,CHO,,PHI,3rd,03:41.0,CHO down 4 (65-69),K. Walker makes free throw 1 of 1,CHO down 3 (66-69)
616,2/13/17,CHO,,PHI,3rd,06:54.0,CHO up 3 (62-59),F. Kaminsky makes free throw 1 of 1,CHO up 4 (63-59)
617,2/13/17,CHO,,PHI,3rd,07:09.0,CHO tied (59-59),M. Williams makes free throw 2 of 2,CHO up 1 (60-59)
618,2/13/17,CHO,,PHI,3rd,07:09.0,CHO down 1 (58-59),M. Williams makes free throw 1 of 2,CHO tied (59-59)
619,2/13/17,CHO,,PHI,3rd,07:50.0,CHO up 1 (58-57),F. Kaminsky misses free throw 1 of 1,CHO up 1 (58-57)
620,2/13/17,CHO,,PHI,2nd,01:36.0,CHO up 1 (46-45),K. Walker makes free throw 2 of 2,CHO up 2 (47-45)
621,2/13/17,CHO,,PHI,2nd,01:36.0,CHO tied (45-45),K. Walker makes free throw 1 of 2,CHO up 1 (46-45)
622,2/13/17,CHO,,PHI,2nd,03:05.0,CHO down 3 (40-43),K. Walker makes free throw 2 of 2,CHO down 2 (41-43)
623,2/13/17,CHO,,PHI,2nd,03:05.0,CHO down 4 (39-43),K. Walker makes free throw 1 of 2,CHO down 3 (40-43)
624,2/13/17,CHO,,PHI,2nd,06:44.0,CHO down 6 (34-40),N. Batum makes free throw 3 of 3,CHO down 5 (35-40)
625,2/13/17,CHO,,PHI,2nd,06:44.0,CHO down 7 (33-40),N. Batum makes free throw 2 of 3,CHO down 6 (34-40)
626,2/13/17,CHO,,PHI,2nd,06:44.0,CHO down 8 (32-40),N. Batum makes free throw 1 of 3,CHO down 7 (33-40)
627,2/13/17,CHO,,PHI,1st,05:25.0,CHO down 10 (7-17),J. Lamb makes free throw 1 of 1,CHO down 9 (8-17)
628,2/13/17,CHO,,PHI,1st,10:41.0,CHO down 4 (1-5),M. Kidd-Gilchrist makes free throw 2 of 2,CHO down 3 (2-5)
629,2/13/17,CHO,,PHI,1st,10:41.0,CHO down 5 (0-5),M. Kidd-Gilchrist makes free throw 1 of 2,CHO down 4 (1-5)
630,2/11/17,CHO,,LAC,4th,00:09.0,CHO down 4 (101-105),N. Batum makes free throw 2 of 2,CHO down 3 (102-105)
631,2/11/17,CHO,,LAC,4th,00:09.0,CHO down 5 (100-105),N. Batum makes free throw 1 of 2,CHO down 4 (101-105)
632,2/11/17,CHO,,LAC,4th,00:58.0,CHO down 4 (96-100),F. Kaminsky makes free throw 2 of 2,CHO down 3 (97-100)
633,2/11/17,CHO,,LAC,4th,00:58.0,CHO down 5 (95-100),F. Kaminsky makes free throw 1 of 2,CHO down 4 (96-100)
634,2/11/17,CHO,,LAC,4th,11:24.0,CHO down 9 (70-79),K. Walker makes free throw 2 of 2,CHO down 8 (71-79)
635,2/11/17,CHO,,LAC,4th,11:24.0,CHO down 9 (70-79),K. Walker misses free throw 1 of 2,CHO down 9 (70-79)
636,2/11/17,CHO,,LAC,3rd,00:58.0,CHO down 7 (70-77),N. Batum misses free throw 3 of 3,CHO down 7 (70-77)
637,2/11/17,CHO,,LAC,3rd,00:58.0,CHO down 8 (69-77),N. Batum makes free throw 2 of 3,CHO down 7 (70-77)
638,2/11/17,CHO,,LAC,3rd,00:58.0,CHO down 9 (68-77),N. Batum makes free throw 1 of 3,CHO down 8 (69-77)
639,2/11/17,CHO,,LAC,3rd,08:50.0,CHO down 4 (54-58),F. Kaminsky misses free throw 2 of 2,CHO down 4 (54-58)
640,2/11/17,CHO,,LAC,3rd,08:50.0,CHO down 5 (53-58),F. Kaminsky makes free throw 1 of 2,CHO down 4 (54-58)
641,2/11/17,CHO,,LAC,2nd,02:53.0,CHO down 3 (46-49),N. Batum makes free throw 2 of 2,CHO down 2 (47-49)
642,2/11/17,CHO,,LAC,2nd,02:53.0,CHO down 4 (45-49),N. Batum makes free throw 1 of 2,CHO down 3 (46-49)
643,2/11/17,CHO,,LAC,2nd,03:52.0,CHO down 4 (42-46),N. Batum makes free throw 1 of 1,CHO down 3 (43-46)
644,2/11/17,CHO,,LAC,2nd,04:23.0,CHO down 5 (38-43),M. Belinelli makes free throw 1 of 1,CHO down 4 (39-43)
645,2/11/17,CHO,,LAC,2nd,10:33.0,CHO down 3 (31-34),J. Lamb makes free throw 2 of 2,CHO down 2 (32-34)
646,2/11/17,CHO,,LAC,2nd,10:33.0,CHO down 3 (31-34),J. Lamb misses free throw 1 of 2,CHO down 3 (31-34)
647,2/11/17,CHO,,LAC,2nd,11:06.0,CHO tied (31-31),J. Lamb misses free throw 3 of 3,CHO tied (31-31)
648,2/11/17,CHO,,LAC,2nd,11:06.0,CHO down 1 (30-31),J. Lamb makes free throw 2 of 3,CHO tied (31-31)
649,2/11/17,CHO,,LAC,2nd,11:06.0,CHO down 2 (29-31),J. Lamb makes free throw 1 of 3,CHO down 1 (30-31)
650,2/9/17,CHO,,HOU,3rd,00:21.0,CHO down 9 (75-84),J. Lamb makes technical free throw,CHO down 8 (76-84)
651,2/9/17,CHO,,HOU,3rd,03:47.0,CHO down 6 (67-73),M. Williams makes free throw 2 of 2,CHO down 5 (68-73)
652,2/9/17,CHO,,HOU,3rd,03:47.0,CHO down 6 (67-73),M. Williams misses free throw 1 of 2,CHO down 6 (67-73)
653,2/9/17,CHO,,HOU,3rd,08:49.0,CHO up 4 (62-58),N. Batum makes technical free throw,CHO up 5 (63-58)
654,2/9/17,CHO,,HOU,3rd,11:35.0,CHO up 5 (55-50),M. Williams makes free throw 2 of 2,CHO up 6 (56-50)
655,2/9/17,CHO,,HOU,3rd,11:35.0,CHO up 4 (54-50),M. Williams makes free throw 1 of 2,CHO up 5 (55-50)
656,2/9/17,CHO,,HOU,2nd,02:06.0,CHO up 4 (51-47),M. Williams makes free throw 2 of 2,CHO up 5 (52-47)
657,2/9/17,CHO,,HOU,2nd,02:06.0,CHO up 3 (50-47),M. Williams makes free throw 1 of 2,CHO up 4 (51-47)
658,2/9/17,CHO,,HOU,2nd,10:15.0,CHO up 7 (35-28),F. Kaminsky makes free throw 1 of 1,CHO up 8 (36-28)
659,2/9/17,CHO,,HOU,2nd,11:51.0,CHO up 7 (30-23),N. Batum makes free throw 2 of 2,CHO up 8 (31-23)
660,2/9/17,CHO,,HOU,2nd,11:51.0,CHO up 6 (29-23),N. Batum makes free throw 1 of 2,CHO up 7 (30-23)
661,2/9/17,CHO,,HOU,1st,00:03.0,CHO up 5 (28-23),F. Kaminsky makes free throw 2 of 2,CHO up 6 (29-23)
662,2/9/17,CHO,,HOU,1st,00:03.0,CHO up 4 (27-23),F. Kaminsky makes free throw 1 of 2,CHO up 5 (28-23)
663,2/9/17,CHO,,HOU,1st,05:54.0,CHO up 5 (17-12),C. Zeller makes free throw 1 of 1,CHO up 6 (18-12)
664,2/7/17,CHO,,BRK,4th,00:07.0,CHO up 3 (110-107),M. Belinelli makes free throw 2 of 2,CHO up 4 (111-107)
665,2/7/17,CHO,,BRK,4th,00:07.0,CHO up 2 (109-107),M. Belinelli makes free throw 1 of 2,CHO up 3 (110-107)
666,2/7/17,CHO,,BRK,4th,00:15.0,CHO up 4 (108-104),M. Belinelli makes free throw 2 of 2,CHO up 5 (109-104)
667,2/7/17,CHO,,BRK,4th,00:15.0,CHO up 3 (107-104),M. Belinelli makes free throw 1 of 2,CHO up 4 (108-104)
668,2/7/17,CHO,,BRK,4th,00:26.0,CHO up 5 (106-101),N. Batum makes free throw 2 of 2,CHO up 6 (107-101)
669,2/7/17,CHO,,BRK,4th,00:26.0,CHO up 5 (106-101),N. Batum misses free throw 1 of 2,CHO up 5 (106-101)
670,2/7/17,CHO,,BRK,4th,00:30.0,CHO up 7 (105-98),F. Kaminsky makes free throw 2 of 2,CHO up 8 (106-98)
671,2/7/17,CHO,,BRK,4th,00:30.0,CHO up 7 (105-98),F. Kaminsky misses free throw 1 of 2,CHO up 7 (105-98)
672,2/7/17,CHO,,BRK,4th,00:39.0,CHO up 8 (104-96),F. Kaminsky makes free throw 2 of 2,CHO up 9 (105-96)
673,2/7/17,CHO,,BRK,4th,00:39.0,CHO up 8 (104-96),F. Kaminsky misses free throw 1 of 2,CHO up 8 (104-96)
674,2/7/17,CHO,,BRK,4th,02:24.0,CHO up 10 (101-91),K. Walker makes free throw 3 of 3,CHO up 11 (102-91)
675,2/7/17,CHO,,BRK,4th,02:24.0,CHO up 9 (100-91),K. Walker makes free throw 2 of 3,CHO up 10 (101-91)
676,2/7/17,CHO,,BRK,4th,02:24.0,CHO up 8 (99-91),K. Walker makes free throw 1 of 3,CHO up 9 (100-91)
677,2/7/17,CHO,,BRK,4th,02:52.0,CHO up 9 (98-89),M. Belinelli makes free throw 2 of 2,CHO up 10 (99-89)
678,2/7/17,CHO,,BRK,4th,02:52.0,CHO up 8 (97-89),M. Belinelli makes free throw 1 of 2,CHO up 9 (98-89)
679,2/7/17,CHO,,BRK,4th,07:27.0,CHO up 8 (90-82),M. Williams makes free throw 2 of 2,CHO up 9 (91-82)
680,2/7/17,CHO,,BRK,4th,07:27.0,CHO up 7 (89-82),M. Williams makes free throw 1 of 2,CHO up 8 (90-82)
681,2/7/17,CHO,,BRK,3rd,02:22.0,CHO up 10 (77-67),J. Lamb makes free throw 2 of 2,CHO up 11 (78-67)
682,2/7/17,CHO,,BRK,3rd,02:22.0,CHO up 9 (76-67),J. Lamb makes free throw 1 of 2,CHO up 10 (77-67)
683,2/7/17,CHO,,BRK,3rd,05:02.0,CHO up 10 (69-59),K. Walker makes free throw 2 of 2,CHO up 11 (70-59)
684,2/7/17,CHO,,BRK,3rd,05:02.0,CHO up 9 (68-59),K. Walker makes free throw 1 of 2,CHO up 10 (69-59)
685,2/7/17,CHO,,BRK,3rd,10:26.0,CHO up 15 (56-41),K. Walker makes free throw 1 of 1,CHO up 16 (57-41)
686,2/7/17,CHO,,BRK,2nd,00:40.0,CHO up 14 (51-37),K. Walker misses free throw 3 of 3,CHO up 14 (51-37)
687,2/7/17,CHO,,BRK,2nd,00:40.0,CHO up 13 (50-37),K. Walker makes free throw 2 of 3,CHO up 14 (51-37)
688,2/7/17,CHO,,BRK,2nd,00:40.0,CHO up 12 (49-37),K. Walker makes free throw 1 of 3,CHO up 13 (50-37)
689,2/7/17,CHO,,BRK,2nd,03:10.0,CHO up 12 (41-29),M. Belinelli makes free throw 2 of 2,CHO up 13 (42-29)
690,2/7/17,CHO,,BRK,2nd,03:10.0,CHO up 11 (40-29),M. Belinelli makes free throw 1 of 2,CHO up 12 (41-29)
691,2/7/17,CHO,,BRK,2nd,09:53.0,CHO up 10 (28-18),J. Lamb makes free throw 1 of 1,CHO up 11 (29-18)
692,2/7/17,CHO,,BRK,2nd,11:50.0,CHO up 10 (26-16),M. Belinelli misses free throw 1 of 1,CHO up 10 (26-16)
693,2/4/17,CHO,@,UTA,3rd,02:23.0,CHO up 5 (72-67),K. Walker makes free throw 3 of 3,CHO up 6 (73-67)
694,2/4/17,CHO,@,UTA,3rd,02:23.0,CHO up 4 (71-67),K. Walker makes free throw 2 of 3,CHO up 5 (72-67)
